date,cases_cumul,cases_hosp,cases_icu,deaths_cumul,cases_hcp,clusters_cumul,cases_female,cases_male,cases_gender_unknown,cases_below_1,cases_1_4,cases_under_5,cases_5_14,cases_15_24,cases_25_34,cases_35_44,cases_45_54,cases_55_64,cases_65_plus,cases_65_74,cases_75_84,cases_85_plus,cases_age_unknown,percent_comm_trns,percent_contact,percent_travel,cases_hcp_travel,cases_hcp_no_travel,cases_hcp_tbc,hosp_under_5,hosp_5_14,hosp_15_24,hosp_25_34,hosp_35_44,hosp_45_54,hosp_55_64,hosp_65_plus,hosp_65_74,hosp_75_84,hosp_85_plus,hosp_age_unknown,cases_carlow,cases_cavan,cases_clare,cases_cork,cases_donegal,cases_dublin,cases_galway,cases_kerry,cases_kildare,cases_kilkenny,cases_laois,cases_leitrim,cases_limerick,cases_longford,cases_louth,cases_mayo,cases_meath,cases_monaghan,cases_offaly,cases_roscommon,cases_sligo,cases_tipperary,cases_waterford,cases_westmeath,cases_wexford,cases_wicklow
14-Aug,27191,3385,442,1516,8495,2487,15340,11823,28,NA,NA,242,436,2219,4707,4788,4820,3375,6583,1878,2322,2383,21,30.7,66.6,2.4,NA,NA,NA,24,18,81,203,277,454,502,1825,593,753,479,1,204,882,430,1595,503,12731,507,321,1990,372,355,85,649,289,803,585,861,545,597,349,155,563,168,682,247,723
15-Aug,27257,3387,442,1516,8501,2497,15370,11857,30,NA,NA,245,442,2231,4719,4799,4832,3380,6588,1883,2322,2383,21,30.7,66.5,2.4,NA,NA,NA,24,18,81,203,277,454,503,1826,594,753,479,1,204,882,432,1595,504,12747,507,321,2011,372,358,85,655,289,807,585,863,549,599,350,156,565,168,682,247,724
16-Aug,27309,3388,441,1517,8510,2496,15395,11884,30,NA,NA,247,450,2242,4728,4810,4836,3385,6590,1885,2322,2383,21,30.6,66.5,2.4,NA,NA,NA,24,18,81,203,276,455,503,1827,595,753,479,1,204,882,432,1595,505,12760,508,321,2034,372,362,85,655,290,807,585,867,550,601,350,156,565,168,683,247,725
17-Aug,27493,3389,442,1517,8523,2520,15508,11956,29,NA,NA,251,464,2278,4774,4848,4868,3395,6594,1887,2323,2384,21,30.4,66.7,2.4,NA,NA,NA,24,18,80,203,278,455,503,1827,595,753,479,1,208,882,439,1598,505,12809,508,322,2084,376,363,85,675,290,811,585,869,550,602,349,156,603,171,683,251,719
18-Aug,27540,3394,443,1518,8527,2568,15533,11979,28,NA,NA,253,468,2292,4782,4850,4875,3401,6598,1891,2323,2384,21,30.3,66.9,2.4,NA,NA,NA,24,18,80,205,279,456,504,1827,595,753,479,1,210,882,441,1598,508,12824,508,323,2088,379,364,85,676,291,814,585,870,550,603,349,156,609,172,683,253,719
19-Aug,27675,3393,443,1518,8536,2577,15614,12033,28,NA,NA,257,480,2329,4812,4873,4883,3416,6604,1894,2324,2386,21,30.4,66.6,2.4,NA,NA,NA,24,18,80,204,279,456,503,1828,595,753,480,1,216,883,441,1604,510,12871,509,323,2116,387,364,85,682,291,814,586,875,550,605,350,156,620,175,683,259,720
20-Aug,27675,3393,443,1518,8536,2577,15614,12033,28,NA,NA,257,480,2329,4812,4873,4883,3416,6604,1894,2324,2386,21,30.4,66.6,2.4,NA,NA,NA,24,18,80,204,279,456,503,1828,595,753,480,1,216,883,441,1604,510,12871,509,323,2116,387,364,85,682,291,814,586,875,550,605,350,156,620,175,683,259,720
21-Aug,27908,3396,443,1519,8550,2579,15727,12153,28,NA,NA,270,495,2377,4868,4908,4912,3439,6618,1903,2329,2386,21,30.7,66.3,2.4,NA,NA,NA,24,18,80,206,279,456,503,1829,596,753,480,1,220,883,443,1612,512,12968,509,325,2161,394,370,85,696,291,816,587,878,552,607,353,156,637,181,684,265,723
22-Aug,27969,3398,443,1519,8553,2580,15757,12185,27,NA,NA,271,499,2396,4878,4915,4924,3445,6619,1903,2330,2386,22,30.7,66.2,2.4,NA,NA,NA,24,18,81,207,279,456,503,1829,596,753,480,1,220,883,443,1614,512,13007,509,326,2174,394,373,85,697,292,816,587,878,552,607,353,156,637,181,684,265,724
23-Aug,28109,3397,443,1519,8562,2584,15821,12261,27,NA,NA,274,507,2443,4904,4933,4937,3457,6633,1911,2335,2387,21,30.5,66.4,2.4,NA,NA,NA,24,18,79,205,279,458,504,1829,596,753,480,1,221,883,445,1617,516,13077,510,324,2189,394,377,85,706,292,819,587,881,554,619,353,156,638,181,684,266,735
24-Aug,28199,3397,444,1519,8567,2633,15857,12313,29,NA,NA,277,518,2464,4918,4947,4952,3463,6639,1915,2337,2387,21,30.4,66.5,2.4,NA,NA,NA,25,18,78,205,279,458,504,1829,596,753,480,1,223,886,451,1620,517,13095,511,325,2195,395,377,85,709,292,820,587,884,556,619,353,156,669,181,684,273,736
25-Aug,28360,3386,444,1519,8584,2649,15937,12395,28,NA,NA,281,528,2503,4953,4964,4982,3475,6652,1922,2342,2388,22,30.3,66.4,2.4,NA,NA,NA,25,18,79,204,278,454,502,1825,596,751,478,1,236,886,451,1629,517,13187,513,325,2216,397,377,85,713,292,821,587,884,556,620,354,156,678,187,684,273,736
26-Aug,28451,3384,446,1519,8598,2656,15977,12446,28,NA,NA,285,537,2521,4968,4982,4995,3484,6657,1926,2343,2388,22,30.2,66.8,2.4,NA,NA,NA,25,18,80,205,279,454,501,1821,594,751,476,1,239,890,455,1633,523,13220,513,325,2222,396,382,85,718,292,823,587,888,557,621,354,156,682,187,688,278,737
27-Aug,28578,3386,446,1520,8608,2734,16034,12517,27,NA,NA,286,549,2554,4996,5009,5009,3491,6661,1928,2345,2388,23,30.2,66.7,2.5,NA,NA,NA,25,18,78,205,280,454,502,1823,594,753,476,1,243,892,457,1634,523,13272,514,326,2223,398,382,85,722,294,824,587,897,570,622,362,156,691,189,689,286,740
28-Aug,28718,3394,446,1519,8621,2741,16101,12589,28,NA,NA,290,560,2579,5025,5036,5028,3503,6674,1931,2352,2391,23,30.3,66.4,2.5,NA,NA,NA,25,18,79,208,280,456,504,1823,594,753,476,1,244,892,461,1638,537,13330,514,328,2243,400,383,85,736,294,825,588,898,570,622,362,156,697,189,689,294,743
29-Aug,28758,3400,446,1519,8628,2741,16123,12607,28,NA,NA,293,562,2591,5031,5041,5035,3505,6677,1931,2355,2391,23,30.2,66.5,2.5,NA,NA,NA,26,19,81,208,280,456,505,1824,594,754,476,1,246,892,463,1638,537,13352,515,328,2247,400,383,85,742,296,825,588,898,570,623,362,157,696,189,689,294,743
30-Aug,28808,3405,446,1519,8637,2733,16148,12632,28,NA,NA,294,567,2602,5041,5052,5038,3514,6677,1930,2356,2391,23,30.1,66.7,2.5,NA,NA,NA,26,19,81,209,282,457,505,1825,595,754,476,1,246,892,465,1639,537,13380,515,329,2247,400,384,85,753,300,825,588,899,570,623,363,157,697,189,690,294,741
31-Aug,29025,3411,447,1519,8660,2783,16261,12736,28,NA,NA,301,590,2650,5083,5084,5067,3529,6698,1938,2363,2397,23,30.2,66.6,2.5,NA,NA,NA,27,19,82,210,281,457,505,1829,595,757,477,1,247,895,471,1641,540,13483,517,329,2272,404,384,85,770,300,830,588,903,573,625,364,157,714,196,691,298,748
1-Sep,29111,3415,447,1519,8678,2810,16309,12774,28,NA,NA,303,602,2675,5094,5089,5078,3536,6711,1940,2369,2402,23,30.1,66.6,2.5,NA,NA,NA,26,19,82,210,280,458,504,1835,595,759,481,1,249,895,473,1643,540,13535,517,329,2274,403,385,86,783,301,830,588,905,573,626,364,157,716,197,692,300,750
2-Sep,29205,3412,447,1519,8695,2826,16350,12827,28,NA,NA,307,612,2694,5109,5105,5087,3545,6722,1947,2372,2403,24,30.1,66.7,2.5,NA,NA,NA,25,19,80,210,278,458,503,1838,598,759,481,1,251,895,474,1645,540,13587,517,330,2280,407,387,86,785,302,832,589,911,573,629,364,157,719,200,694,302,749
3-Sep,29303,3418,448,1519,8719,2848,16400,12875,28,NA,NA,315,622,2713,5127,5115,5101,3554,6732,1947,2374,2411,24,30.1,66.7,2.5,NA,NA,NA,26,20,81,209,278,458,504,1841,598,760,483,1,253,895,477,1649,540,13611,518,338,2293,413,390,87,791,303,838,589,913,575,633,364,157,724,204,694,305,749
4-Sep,29534,3424,448,1519,8742,2865,16514,12990,30,NA,NA,321,636,2761,5178,5157,5129,3571,6757,1962,2381,2414,24,30.2,66.4,2.5,NA,NA,NA,26,20,83,209,278,458,505,1844,601,760,483,1,254,900,478,1655,545,13744,525,340,2311,413,392,89,804,303,840,591,919,578,641,364,158,726,209,694,305,756
5-Sep,29672,3427,448,1519,8771,2878,16593,13049,30,NA,NA,328,640,2792,5203,5183,5148,3581,6773,1975,2383,2415,24,30.3,66.4,2.5,NA,NA,NA,26,20,83,209,278,459,505,1846,603,760,483,1,255,900,479,1660,547,13812,534,340,2320,416,396,90,817,304,840,592,920,578,644,365,158,728,211,695,310,761
6-Sep,29672,3427,448,1519,8771,2878,16593,13049,30,NA,NA,328,640,2792,5203,5183,5148,3581,6773,1975,2383,2415,24,30.3,66.4,2.5,NA,NA,NA,26,20,83,209,278,459,505,1846,603,760,483,1,255,900,479,1660,547,13812,534,340,2320,416,396,90,817,304,840,592,920,578,644,365,158,728,211,695,310,761
7-Sep,29672,3427,448,1519,8771,2878,16593,13049,30,NA,NA,328,640,2792,5203,5183,5148,3581,6773,1975,2383,2415,24,30.3,66.4,2.5,NA,NA,NA,26,20,83,209,278,459,505,1846,603,760,483,1,255,900,479,1660,547,13812,534,340,2320,416,396,90,817,304,840,592,920,578,644,365,158,728,211,695,310,761
8-Sep,30360,3435,450,1781,8815,2933,16848,13286,30,NA,NA,358,690,2890,5298,5265,5203,3622,6814,1996,2395,2423,24,30.3,66.5,2.5,NA,NA,NA,26,19,84,209,278,461,505,1852,605,762,485,1,255,902,487,1667,554,14098,550,343,2352,422,396,101,834,309,859,595,929,583,656,366,159,735,213,700,326,773
9-Sep,30361,3440,450,1524,8837,2954,16941,13388,30,NA,NA,361,719,2914,5337,5290,5236,3638,6832,2001,2401,2430,24,30.4,66.5,2.5,NA,NA,NA,27,19,84,209,278,462,507,1853,606,762,485,1,255,903,492,1667,555,14206,553,343,2359,425,402,102,845,311,861,597,936,586,658,369,159,738,225,706,327,781
10-Sep,30571,3445,450,1526,8862,2985,17050,13488,30,NA,NA,371,732,2961,5383,5327,5258,3659,6856,2023,2402,2431,24,30.3,66.2,2.5,NA,NA,NA,27,19,84,211,278,463,508,1854,607,762,485,1,256,903,495,1675,560,14326,558,344,2362,427,408,103,855,315,879,598,939,586,660,370,159,739,227,712,327,788
11-Sep,30730,3452,450,1526,8875,3028,17139,13558,24,NA,NA,379,746,2991,5411,5350,5282,3681,6862,2026,2402,2434,24,30.3,66.1,2.5,NA,NA,NA,28,19,84,211,278,464,509,1857,609,762,486,1,257,904,497,1681,566,14440,561,348,2362,428,413,106,857,318,889,600,939,586,664,374,159,740,231,715,332,792
12-Sep,30984,3457,450,1527,8889,3035,17262,13689,33,NA,NA,388,772,3046,5458,5386,5306,3705,6899,2050,2411,2438,24,30.4,65.9,2.5,NA,NA,NA,29,19,85,212,278,465,510,1858,610,762,486,1,258,904,502,1683,579,14556,562,349,2375,428,416,106,866,319,893,602,948,586,668,374,159,741,253,719,335,803
13-Sep,31190,3462,451,1530,8902,3035,17372,13785,33,NA,NA,391,782,3111,5480,5413,5343,3732,6914,2059,2416,2439,24,30.3,66.2,2.5,NA,NA,NA,29,19,85,212,279,467,510,1860,611,763,486,1,259,905,503,1688,591,14665,564,349,2384,429,420,106,872,321,911,606,958,586,668,376,159,743,260,721,341,805
14-Sep,31551,3469,452,1531,8922,3074,17544,13974,33,NA,NA,402,818,3203,5530,5452,5395,3771,6956,2092,2425,2439,24,30.1,66.3,2.4,NA,NA,NA,29,19,85,213,279,466,512,1865,614,765,486,1,263,910,505,1697,593,14883,568,357,2395,433,420,110,879,321,931,611,963,588,673,381,162,748,271,731,346,812
15-Sep,31783,3477,454,1531,8943,3156,17667,14083,33,NA,NA,413,846,3253,5568,5475,5431,3797,6976,2104,2432,2440,24,29.8,66.7,2.4,NA,NA,NA,29,19,87,212,279,468,512,1870,618,766,486,1,271,910,508,1704,613,15008,574,362,2395,433,423,112,882,322,944,614,962,590,675,383,162,748,280,735,350,823
16-Sep,32018,3490,455,1535,8959,3252,17785,14200,33,NA,NA,428,864,3286,5610,5510,5466,3825,7005,2120,2440,2445,24,29.4,66.4,2.4,NA,NA,NA,29,19,88,212,280,470,513,1878,619,770,489,1,272,912,510,1712,629,15124,578,362,2412,434,428,112,892,323,949,614,965,591,678,383,162,749,294,736,355,842
17-Sep,32264,3500,457,1535,8968,3433,17890,14340,34,NA,NA,434,889,3345,5648,5554,5501,3840,7029,2138,2445,2446,24,29.4,67.4,2.4,NA,NA,NA,29,19,88,212,280,471,515,1885,624,772,489,1,272,912,519,1726,642,15239,593,366,2434,434,429,111,895,323,959,623,966,591,681,384,165,755,302,736,358,849
18-Sep,32537,3514,458,1535,8990,3489,18019,14481,37,NA,NA,442,909,3411,5687,5600,5536,3875,7053,2152,2452,2449,24,29.4,67.4,2.4,NA,NA,NA,30,19,90,212,281,474,519,1888,627,772,489,1,274,916,523,1747,661,15405,595,367,2441,437,429,111,900,323,964,626,971,593,688,385,165,757,308,737,359,855
19-Sep,32933,3524,460,1535,9011,3499,18245,14656,32,NA,NA,456,933,3504,5763,5671,5591,3896,7095,2179,2459,2457,24,29.2,66.8,2.4,NA,NA,NA,31,19,89,212,282,474,518,1898,629,775,494,1,275,918,529,1783,680,15646,607,368,2452,438,433,113,904,323,971,626,982,602,694,386,168,759,314,741,361,860
20-Sep,33110,3535,462,1535,9030,3521,18335,14747,28,NA,NA,460,948,3542,5807,5694,5615,3907,7113,2190,2464,2459,24,28.9,67.3,2.4,NA,NA,NA,30,18,89,212,285,477,523,1900,632,776,492,1,276,919,531,1807,701,15717,618,368,2468,442,433,112,904,323,975,627,983,603,695,394,169,759,321,742,360,863
21-Sep,33440,3548,467,1537,9054,3595,18507,14904,29,NA,NA,471,948,3624,5861,5745,5651,3937,7141,2203,2474,2464,24,28.9,67.5,2.4,NA,NA,NA,29,18,90,212,287,480,527,1904,633,778,493,1,277,919,536,1841,719,15882,628,371,2497,443,435,113,910,325,985,633,994,606,698,400,169,760,326,744,360,869
22-Sep,33669,3552,467,1539,9069,3699,18624,15016,29,NA,NA,471,1000,3701,5896,5774,5679,3963,7160,2216,2479,2465,25,28.8,67.7,2.4,NA,NA,NA,28,18,91,214,288,480,528,1904,631,779,494,1,278,919,539,1862,749,15980,650,371,2506,444,436,113,910,325,997,634,1002,606,700,403,170,762,326,745,360,882
23-Sep,33988,3560,468,1540,9091,3795,18777,15182,29,NA,NA,479,1020,3767,5950,5829,5734,3993,7191,2230,2492,2469,25,28.8,67.8,2.4,NA,NA,NA,28,18,91,214,288,481,530,1909,633,781,495,1,279,927,540,1896,791,16142,654,371,2518,446,436,114,916,325,1001,635,1008,619,704,409,170,763,325,749,363,887
24-Sep,34312,3566,469,1541,9104,3874,18941,15342,29,NA,NA,483,1042,3853,6019,5872,5774,4026,7217,2246,2501,2470,26,28.8,67.8,2.4,NA,NA,NA,28,18,91,213,290,482,532,1911,635,782,494,1,281,931,543,1928,813,16294,675,380,2529,446,436,114,922,328,1009,640,1023,623,704,413,170,769,328,756,368,889
25-Sep,34561,3575,469,1545,9111,3948,19057,15474,30,NA,NA,491,1062,3917,6068,5898,5807,4050,7241,2262,2507,2472,26,28.9,67.6,2.3,NA,NA,NA,29,19,91,215,290,482,534,1914,638,782,494,1,281,932,543,1964,850,16398,679,380,2537,452,442,115,925,333,1011,640,1026,628,710,415,171,769,330,764,373,890
26-Sep,34987,3583,469,1545,9128,3961,19265,15693,29,NA,NA,500,1097,4029,6159,5958,5855,4078,7285,2286,2517,2482,26,29,67.2,2.3,NA,NA,NA,29,20,92,217,290,482,536,1916,639,783,494,1,281,941,558,2018,873,16608,702,384,2541,454,442,116,931,335,1027,644,1038,643,712,423,175,774,330,767,374,896
27-Sep,35376,3593,468,1546,9153,3971,19464,15881,31,NA,NA,507,1122,4128,6234,6008,5918,4116,7318,2306,2530,2482,25,28.8,67.6,2.3,NA,NA,NA,29,20,92,217,291,485,539,1919,641,784,494,1,281,944,562,2045,895,16815,723,386,2558,455,447,116,937,341,1030,645,1043,657,717,430,180,781,337,770,381,900
28-Sep,35726,3600,470,1547,9183,4055,19649,16046,31,NA,NA,516,1138,4221,6286,6060,5970,4156,7355,2329,2539,2487,24,28.8,67.7,2.3,NA,NA,NA,29,20,93,217,293,486,543,1918,641,785,492,1,285,946,568,2085,918,16960,736,390,2567,459,447,116,946,345,1034,648,1053,671,721,445,180,786,338,773,397,912
29-Sep,36155,3617,473,1549,9221,4138,19875,16249,31,NA,NA,533,1164,4330,6355,6116,6030,4204,7399,2349,2555,2495,24,28.6,67.9,2.3,NA,NA,NA,31,23,95,218,295,489,541,1924,645,785,494,1,286,953,583,2145,949,17149,765,391,2585,459,453,116,958,352,1042,648,1062,672,726,449,180,788,340,778,399,927
30-Sep,36593,3631,475,1549,9254,4237,20091,16471,31,NA,NA,541,1187,4426,6443,6196,6085,4256,7435,2370,2567,2498,24,28.4,68.1,2.3,NA,NA,NA,31,24,96,219,295,490,541,1934,650,790,494,1,291,963,600,2192,977,17315,786,393,2594,463,464,118,964,363,1046,650,1085,693,730,461,182,799,344,782,404,934
1-Oct,37057,3643,474,1556,9294,4330,20329,16694,34,NA,NA,553,1221,4539,6520,6276,6162,4296,7466,2391,2573,2502,24,28.5,68,2.3,NA,NA,NA,31,26,99,220,295,491,541,1939,653,791,495,1,292,972,609,2253,1013,17496,796,405,2613,472,461,118,983,372,1054,654,1097,697,739,470,183,806,345,791,410,952
2-Oct,37668,3653,474,1557,9318,4423,20622,17009,37,NA,NA,571,1262,4694,6622,6375,6239,4364,7517,2420,2582,2515,24,28.5,67.7,2.3,NA,NA,NA,33,26,100,221,297,493,543,1939,653,791,495,1,299,980,626,2299,1071,17720,814,426,2657,477,493,119,1014,375,1066,660,1110,709,748,477,190,815,348,796,418,961
3-Oct,38031,3678,475,1557,9342,4443,20789,17204,38,NA,NA,583,1281,4789,6709,6430,6279,4399,7537,2432,2588,2517,24,28.4,67.5,2.2,NA,NA,NA,34,27,103,230,300,492,548,1943,655,793,495,1,300,985,643,2354,1102,17821,837,436,2663,483,497,122,1038,377,1070,665,1115,711,754,490,204,823,352,798,422,969
4-Oct,38541,3676,476,1558,9387,4457,21051,17.452,24,NA,NA,597,1323,4915,6788,6518,6355,4439,7582,2457,2604,2521,24,28.2,67.6,2.2,NA,NA,NA,34,27,101,222,299,494,549,1949,658,796,495,1,301,1006,675,2403,1135,17951,859,445,2678,484,508,122,1080,383,1088,650,1149,730,772,494,211,836,353,802,432,974
